field,Region,Farm_Type,soil_type,GIS_X_V2,GIS_Y_V2,avg.percent.C,avg.percent.h,avg.percent.n,Weight_Sand,Weight_Silt,Weight_Clay,pH,Olsen_P_mg_per_l,K_mg_per_l,Mg_mg_per_l,Isotope_delta_N,delta_PDB,Defunct_C.N
41b,Lothian,Conventional,clay loam,,,2.035160667,0.499307067,0.170716667,47,26,27,5.6,31,108,72,6.037375786,-25.94183169,15.40492556
42a,Lothian,Conventional,clay,,,2.401603667,0.631553267,0.199812767,40,22,38,6,20.6,85,173,5.902831368,-26.75068802,12.10562437
42b,Lothian,Conventional,clay,,,1.678338333,0.531913933,0.1615196,37,27,36,6,35.2,176,147,NA,NA,NA
45a,Lothian,Conventional,clay,,,2.666109667,0.4504618,0.113338687,31,30,39,6.3,12.6,91,272,5.457067161,-26.98547292,11.52348776
45b,Lothian,Conventional,clay,,,2.067724,0.5546696,0.149797967,27,36,37,6.6,15,155,267,5.395429322,-27.322459,12.44789173
47a,Perthshire,Conventional,clay loam,,,2.396428667,0.453273267,0.143235733,47,29,24,5.4,56,141,134,5.139505887,-26.88982313,13.86225665
47b,Perthshire,Conventional,sandy clay loam,,,1.718764333,0.494784867,0.1650066,57,21,22,5.5,47.4,102,139,6.333007735,-26.7296472,12.7084731
48a,Lothian,Conventional,sandy clay loam,,,1.714276,0.473753233,0.1008421,40,27,33,6.1,27.2,106,194,5.272841396,-26.55797383,12.94494299
49a,Lothian,Conventional,sandy clay loam,,,2.593358333,0.633283633,0.2389978,57,21,22,5.6,75.2,273,238,7.378988196,-26.93074584,13.09140933
4a,Aberdeen,LEAF/organic,medium loam,,,3.213664,0.5899961,0.2397691,NA,NA,NA,NA,NA,NA,NA,6.579480102,-27.54601462,15.94865064
4b,Aberdeen,LEAF/organic,medium loam,,,3.963636,0.8355029,0.342847567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50a,Tayside,Organic,sandy loam,,,2.141239,0.554499233,0.198296,56,25,19,5.9,35.8,216,218,5.173536056,-27.27022141,12.56440489
50b,Tayside,Organic,sandy loam,,,2.271199,0.586776133,0.2115044,61,20,19,5.9,51,336,206,5.605448087,-27.10802925,14.03875279
